Date,High,Low,Open,Close,Volume,Adj Close
1999-05-03,135.84375,133.09375,133.4375,135.6875,10709700.0,88.59127044677734
1999-05-04,135.8125,133.125,135.125,133.75,10509300.0,87.32624816894531
1999-05-05,135.0625,131.84375,133.9375,134.8125,10032300.0,88.01998901367188
1999-05-06,135.125,132.375,134.4375,133.984375,13507200.0,87.47930145263672
1999-05-07,135.125,133.4375,134.5,135.0,8680700.0,88.14241027832031
1999-05-10,135.71875,133.53125,134.84375,134.328125,5580100.0,87.7037582397461
1999-05-11,136.875,134.71875,135.3125,135.6875,7000600.0,88.59127044677734
1999-05-12,137.21875,131.5,135.75,136.75,13865800.0,89.2850341796875
1999-05-13,138.0,136.8125,137.25,137.34375,4485700.0,89.67268371582031
1999-05-14,135.875,133.5,134.5625,133.78125,8370100.0,87.34668731689453
1999-05-17,134.484375,132.375,133.625,134.1875,6268100.0,87.61193084716797
1999-05-18,134.984375,132.625,134.53125,133.9375,8218600.0,87.44868469238281
1999-05-19,135.0,133.25,134.46875,134.90625,5052400.0,88.0811996459961
1999-05-20,135.59375,134.0625,135.125,134.09375,4670400.0,87.55075073242188
1999-05-21,134.6875,132.59375,134.125,133.34375,6418200.0,87.06107330322266
1999-05-24,133.84375,130.390625,133.84375,131.125,7952000.0,85.61235809326172
1999-05-25,132.34375,128.4375,131.375,129.0,15406400.0,84.22496795654297
1999-05-26,131.0,128.09375,129.3125,130.4375,12575900.0,85.16354370117188
1999-05-27,130.28125,128.0,129.84375,128.5625,14515400.0,83.93932342529297
1999-05-28,130.75,128.59375,129.0,130.203125,8748000.0,85.01050567626953
1999-06-01,130.15625,128.375,130.125,129.75,6705300.0,84.71468353271484
1999-06-02,130.1875,128.015625,129.75,129.875,6981900.0,84.79627227783203
1999-06-03,130.875,129.78125,130.6875,130.59375,6076600.0,85.26555633544922
1999-06-04,133.359375,130.9375,131.46875,133.21875,9787200.0,86.97945404052734
1999-06-07,134.1875,132.90625,133.4375,133.5625,5299100.0,87.20384979248047
1999-06-08,133.796875,131.59375,133.375,132.25,4895700.0,86.34689331054688
1999-06-09,133.09375,131.8125,132.40625,132.125,7409700.0,86.26526641845703
1999-06-10,131.46875,129.59375,131.4375,130.90625,7040700.0,85.4695816040039
1999-06-11,132.21875,129.09375,131.21875,129.8125,12824800.0,84.75543975830078
1999-06-14,130.75,129.546875,130.6875,129.9375,6823500.0,84.83710479736328
1999-06-15,131.65625,130.078125,130.46875,130.8125,5700900.0,85.4083480834961
1999-06-16,133.875,132.375,132.375,133.3125,7865800.0,87.0406265258789
1999-06-17,135.5625,132.625,132.875,134.5625,8162800.0,87.8567886352539
1999-06-18,134.6875,133.375,134.0625,134.3125,2875100.0,87.9582748413086
1999-06-21,135.25,133.65625,134.46875,134.625,4646400.0,88.16290283203125
1999-06-22,135.1875,133.5,134.0,133.6875,5862400.0,87.5489730834961
1999-06-23,133.625,132.125,133.0,133.03125,9629200.0,87.11918640136719
1999-06-24,132.9375,130.65625,132.875,132.03125,9176900.0,86.46430969238281
1999-06-25,133.015625,131.25,132.59375,131.703125,4087000.0,86.24942779541016
1999-06-28,133.625,132.5,132.6875,133.3125,5028900.0,87.30339813232422
1999-06-29,135.1875,132.78125,133.0,134.5625,6956200.0,88.12198638916016
1999-06-30,137.5,133.84375,134.625,137.0,16856100.0,89.71825408935547
1999-07-01,138.5,136.0625,137.0,138.03125,9939500.0,90.3935775756836
